#{"t_start": 1766985341.0102422, "env_id": "BipedalWalker-v3"}
r,l,t
-94.192182,98,6.662033
-69.330271,1600,31.54351
-116.168887,225,35.758762
-104.058027,73,37.119554
-114.336966,75,38.483516
-107.077083,106,40.506838
-114.661762,92,42.299284
-101.955069,79,43.743176
-112.448606,99,45.632958
-115.606113,80,47.107853
-200.834134,1416,73.075102
-98.518392,80,74.560198
-117.103936,267,79.467134
-199.554919,687,92.346429
-104.937283,77,93.747589
-107.405381,80,95.21782
-115.0809,238,99.622878
-98.653843,61,100.759923
-104.323115,84,102.365446
-100.395711,65,103.56711
-108.172476,89,105.199257
-114.195031,70,106.492498
-121.008224,139,109.035041
-118.648489,71,110.351034
-119.511296,84,111.881624
-118.812048,76,113.354745
-121.103645,95,116.95232
-117.327311,66,119.775832
-117.093783,67,121.053766
-120.586838,78,122.556004
-100.645918,65,124.73934
-100.026371,114,130.949159
-99.21183,166,139.740173
-107.02398,84,144.866846
-113.591276,139,152.2184
-110.582218,167,158.430769
-117.045516,125,161.112503
-129.763111,87,162.956999
-136.589202,89,164.727159
-135.438562,818,181.396357
-94.512498,123,183.954587
-92.11752,173,193.85076
-107.884245,100,199.342734
-98.578954,149,206.630512
-89.484866,122,216.409174
-113.262633,140,218.332426
-91.023588,203,221.222501
-120.6226,693,423.83366
-90.678188,200,527.302339
-105.761287,164,530.219753
-109.336012,116,532.458641
-110.631508,96,534.173411
-104.371931,54,535.15062
-76.08198,247,539.872145
-80.091999,240,544.411654
-72.689134,410,552.293972
-91.665457,108,554.411116
-88.201706,630,566.83496
-63.678663,870,586.372969
-97.183712,88,588.56907
-91.246226,530,600.823112
-104.868623,70,602.721111
-88.546626,679,617.393456
-122.746872,69,619.1415
-73.133841,301,625.755794
-99.076795,559,638.123378
-7.824125,651,652.395965
-110.906083,779,669.290604
-125.181193,134,672.039476
-85.452626,310,678.905135
329.88895,1600,718.941029
96.674018,843,738.861866
48.95089,762,1000.73417
77.200517,1247,1041.07798
313.598935,1600,1085.027672
-116.4325,81,1087.2196
-80.983503,255,1093.692885
-85.959048,150,1097.418101
-90.707826,201,1102.762773
-113.152808,60,1104.378245
15.625208,689,1122.601322
-87.394578,240,1129.69799
98.217909,1001,1155.46523
-125.239517,118,1158.373194
36.724262,1068,1186.837351
-15.750074,396,1197.622713
295.426625,1600,1242.208272
-42.776197,456,1250.938736
256.708396,1600,1566.588411
12.063096,1600,1604.819716
-118.332411,65,1607.622514
68.662252,1600,1657.156093
34.008987,1600,1711.53923
-73.956922,1559,1757.807165
289.080043,1099,1783.165565
46.93032,463,1791.895232
78.481622,640,1803.739464
-59.115084,227,1898.641695
91.965363,724,1912.485234
146.679483,845,1927.900968
403.991754,1215,1948.906388
69.292348,695,1960.958268
-0.758355,1600,1992.012113
408.879275,1301,2016.42827
50.590648,495,2026.600148
92.819136,1370,2055.521875
-120.847368,57,2056.695178
-123.107524,51,2057.784095
